Year,Growth,Value,SPY,Cash
2001,121,127,125,123
2002,118,134,120,132
2003,127,125,144,108
2004,120,132,145,107
2005,121,131,140,112
2006,109,142,141,110
2007,138,113,139,112
2008,125,128,126,127
2009,145,107,141,111
2010,125,127,147,105
2011,127,125,136,116
2012,116,134,139,111
2013,133,119,149,103
2014,140,112,149,103
2015,137,115,121,131
2016,129,123,138,114
2017,145,106,144,107
2018,144,107,135,116
2019,123,129,150,102
2020,150,103,146,107
2021,125,127,146,106
2022,113,138,110,141
2023,142,108,141,109
