Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,
9 Day Winner Strategy,115.1819323,113.8400119,59.080225,74.97652713,85.67499171,83.39595737,92.54418479,118.3626076,134.1385442,131.0563609,150.642967,181.445022,161.8417097,213.5289507,241.9809813,368.5862258,312.5287404,420.2213881,,,,,,,,,,,,,,
9 Day Loser Strategy,115.0580845,130.7417925,100.4959673,127.0372361,149.2444859,159.285746,192.1187543,262.447303,298.219314,310.5303531,337.8987629,411.9152243,419.6771191,548.1522792,654.4758046,708.515669,558.7378464,660.2572667,,,,,,,,,,,,,,
7 Day Winner Strategy,114.0538265,112.0322483,60.66309854,73.77616317,86.08749956,86.38352651,94.76316905,122.7704084,137.7345756,134.5281461,156.0729233,188.985097,184.6778456,236.6722651,253.8449124,388.487821,320.7303203,433.0914987,,,,,,,,,,,,,,
7 Day Loser Strategy,116.1961235,132.8514553,97.87374038,129.1041763,148.529347,153.7768579,187.6200815,253.0247112,290.4332804,302.5164564,326.1428767,395.480745,367.7824065,494.5504745,623.8876169,672.219571,544.4500389,640.6365074,,,,,,,,,,,,,,
5 Day Winner Strategy,115.809107,117.3224198,59.35762111,71.78513837,78.56646976,75.86425346,79.88920468,102.4530704,117.2702829,116.1926115,129.6385897,158.4161358,153.9617721,209.5667007,227.9306254,343.7774857,269.2802354,355.076864,,,,,,,,,,,,,,
5 Day Loser Strategy,114.434977,126.8610658,100.0263192,132.6849957,162.7477998,175.0994267,222.5516398,303.2017198,341.115444,350.2544397,392.6459883,471.7951649,441.1566686,558.5161222,694.8197381,759.6457802,648.4755003,781.3920118,,,,,,,,,,,,,,
3 Day Winner Strategy,107.8884952,108.4686234,55.55282819,68.08710444,74.00843379,70.31405454,73.70100665,93.07814196,101.0711558,100.7539683,111.6208392,135.6314669,136.2074722,184.9588039,191.9106523,259.5741115,190.0178328,255.9526504,,,,,,,,,,,,,,
3 Day Loser Strategy,122.8361975,137.216153,106.8770853,139.891553,172.7711213,188.9207979,241.2378651,333.7405161,395.7875451,403.9243189,456.0266037,551.051822,498.6603257,632.8240588,825.2314061,1006.06765,918.9749868,1084.006064,,,,,,,,,,,,,,
Inertia,111.3777119,111.1590506,60.35041338,72.01527199,78.76291316,74.90154468,73.55922448,91.63359784,100.9577669,98.20808677,110.610321,133.9834301,130.571662,178.9930676,228.4936865,323.8849289,249.1489674,323.871062,,,,,,,,,,,,,,
Anti-Inertia,118.9880118,133.8950553,98.38083991,132.2609845,162.3418888,177.3499778,241.7028405,339.0017185,396.2320665,414.3953861,460.1927896,557.8299261,520.1837935,653.9157217,693.1075421,806.3021556,700.8724026,856.6811228,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strategy Name,9 Day Winner Strategy,9 Day Loser Strategy,7 Day Winner Strategy,7 Day Loser Strategy,5 Day Winner Strategy,5 Day Loser Strategy,3 Day Winner Strategy,3 Day Loser Strategy,Inertia,Anti-Inertia,,,,,,,,,,,,,,,,,,,,,,
,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,
2006,115.1819323,115.0580845,114.0538265,116.1961235,115.809107,114.434977,107.8884952,122.8361975,111.3777119,118.9880118,0.151819323,0.150580845,0.140538265,0.161961235,0.15809107,0.14434977,0.078884952,0.228361975,0.113777119,0.189880118,,,,,,,,,,,,
2007,113.8400119,130.7417925,112.0322483,132.8514553,117.3224198,126.8610658,108.4686234,137.216153,111.1590506,133.8950553,-0.011650442,0.136311221,-0.017724773,0.143338102,0.013067304,0.108586458,0.005377109,0.117066107,-0.001963242,0.125281894,,2006,115,115,114,116,116,114,108,123,111,119
2008,59.080225,100.4959673,60.66309854,97.87374038,59.35762111,100.0263192,55.55282819,106.8770853,60.35041338,98.38083991,-0.481024079,-0.231340145,-0.4585211,-0.263284394,-0.494064125,-0.211528623,-0.487844259,-0.2211042,-0.457080525,-0.265239185,,2007,114,131,112,133,117,127,108,137,111,134
2009,74.97652713,127.0372361,73.77616317,129.1041763,71.78513837,132.6849957,68.08710444,139.891553,72.01527199,132.2609845,0.269062992,0.264102825,0.216162131,0.31908902,0.209366835,0.326500832,0.225628049,0.308901273,0.19328548,0.344377469,,2008,59,101,61,98,59,100,56,107,60,98
2010,85.67499171,149.2444859,86.08749956,148.529347,78.56646976,162.7477998,74.00843379,172.7711213,78.76291316,162.3418888,0.142690853,0.174808981,0.166874175,0.150461211,0.094467066,0.226572748,0.086966973,0.235036124,0.093697364,0.227435962,,2009,75,127,74,129,72,133,68,140,72,132
2011,83.39595737,159.285746,86.38352651,153.7768579,75.86425346,175.0994267,70.31405454,188.9207979,74.90154468,177.3499778,-0.026600929,0.06728061,0.003438675,0.035329792,-0.034394015,0.075894279,-0.049918355,0.093474398,-0.049025212,0.092447421,,2010,86,149,86,149,79,163,74,173,79,162
2012,92.54418479,192.1187543,94.76316905,187.6200815,79.88920468,222.5516398,73.70100665,241.2378651,73.55922448,241.7028405,0.109696293,0.206126468,0.097005099,0.220080082,0.053054647,0.271001533,0.048168921,0.276925928,-0.017921128,0.362858025,,2011,83,159,86,154,76,175,70,189,75,177
2013,118.3626076,262.447303,122.7704084,253.0247112,102.4530704,303.2017198,93.07814196,333.7405161,91.63359784,339.0017185,0.278984821,0.366068107,0.295549839,0.348601435,0.282439483,0.362388163,0.262915477,0.383449965,0.245711853,0.40255579,,2012,93,192,95,188,80,223,74,241,74,242
2014,134.1385442,298.219314,137.7345756,290.4332804,117.2702829,341.115444,101.0711558,395.7875451,100.9577669,396.2320665,0.133284801,0.13630169,0.121887411,0.147845517,0.144624387,0.125044555,0.08587423,0.185913984,0.101754917,0.16882023,,2013,118,262,123,253,102,303,93,334,92,339
2015,131.0563609,310.5303531,134.5281461,302.5164564,116.1926115,350.2544397,100.7539683,403.9243189,98.20808677,414.3953861,-0.022977611,0.04128183,-0.023279772,0.041603965,-0.009189638,0.026791504,-0.003138259,0.020558438,-0.027235945,0.045840105,,2014,134,298,138,290,117,341,101,396,101,396
2016,150.642967,337.8987629,156.0729233,326.1428767,129.6385897,392.6459883,111.6208392,456.0266037,110.610321,460.1927896,0.149451777,0.088134411,0.160150704,0.07809962,0.115721456,0.121030725,0.107855512,0.128990215,0.126285265,0.1105162,,2015,131,311,135,303,116,350,101,404,98,414
2017,181.445022,411.9152243,188.985097,395.480745,158.4161358,471.7951649,135.6314669,551.051822,133.9834301,557.8299261,0.204470581,0.219049223,0.210876896,0.212599671,0.221982869,0.201578977,0.215108826,0.20837648,0.211310381,0.212165724,,2016,151,338,156,326,130,393,112,456,111,460
2018,161.8417097,419.6771191,184.6778456,367.7824065,153.9617721,441.1566686,136.2074722,498.6603257,130.571662,520.1837935,-0.108039957,0.018843428,-0.022791487,-0.070037135,-0.028118119,-0.064940251,0.004246842,-0.095075443,-0.025464105,-0.067486757,,2017,181,412,189,395,158,472,136,551,134,558
2019,213.5289507,548.1522792,236.6722651,494.5504745,209.5667007,558.5161222,184.9588039,632.8240588,178.9930676,653.9157217,0.319369099,0.306128579,0.281541185,0.344682252,0.361160617,0.266026702,0.357919656,0.269048341,0.370841612,0.257085918,,2018,162,420,185,368,154,441,136,499,131,520
2020,241.9809813,654.4758046,253.8449124,623.8876169,227.9306254,694.8197381,191.9106523,825.2314061,228.4936865,693.1075421,0.133246712,0.193967132,0.072558765,0.261524655,0.087628066,0.244045983,0.037585929,0.304045563,0.276550481,0.059934054,,2019,214,548,237,495,210,559,185,633,179,654
2021,368.5862258,708.515669,388.487821,672.219571,343.7774857,759.6457802,259.5741115,1006.06765,323.8849289,806.3021556,0.523203286,0.08256969,0.530414052,0.077469007,0.508254914,0.09329908,0.352577923,0.219133982,0.417478679,0.163314647,,2020,242,654,254,624,228,695,192,825,228,693
