Year,Growth,Value,SPY,Cash,R(Growth),R(Value),R(SPY),R(Cash)
2001,121,127,125,123,0.01542433,-0.00037457,0.010119347,-0.011105954
2002,118,134,120,132,0.011147419,-0.000724691,0.012598348,-0.01303133
2003,127,125,144,108,0.00502174,0.002780857,0.007968635,-0.008199016
2004,120,132,145,107,0.002601329,0.001947908,0.005152853,-0.005974934
2005,121,131,140,112,0.002447596,0.001098551,0.004818971,-0.005555283
2006,109,142,141,110,0.002935999,0.000983084,0.004718935,-0.004666131
2007,138,113,139,112,2.42E-05,0.004104831,0.006726385,-0.007787413
2008,125,128,126,127,-0.003099035,0.007092414,0.015555313,-0.018374443
2009,145,107,141,111,0.0019417,0.005848286,0.011709456,-0.012448097
2010,125,127,147,105,0.003538194,0.001157983,0.007313867,-0.00875074
2011,127,125,136,116,-0.000688259,0.004962843,0.009700609,-0.010982803
2012,116,134,139,111,0.000476329,0.004209364,0.00590194,-0.005981806
2013,133,119,149,103,0.002696267,0.001861793,0.005531738,-0.005223321
2014,140,112,149,103,0.0035161,-0.000290044,0.004868509,-0.005754903
2015,137,115,121,131,0.00176603,0.001442177,0.007526042,-0.006767213
2016,129,123,138,114,0.002075429,0.002159973,0.005726195,-0.005862878
2017,145,106,144,107,0.001721617,0.002747025,0.003349496,-0.002650098
2018,144,107,135,116,0.005113091,-0.001957958,0.006762282,-0.008148494
2019,123,129,150,102,0.002264439,0.002655965,0.005706362,-0.005649614
2020,150,103,146,107,0.004034637,0.005789416,0.0122664,-0.014637409
2021,125,127,146,106,0.006282575,0.00295356,0.006309219,-0.006227101
2022,113,138,110,141,0.012651912,-0.004202287,0.012905625,-0.011283413
2023,142,108,141,109,0.002375573,0.002708444,0.006601768,-0.006328395
$\max$,150,142,150,141,0.01542433,0.007092414,0.015555313,-0.002650098
$\min$,109,103,110,102,-0.003099035,-0.004202287,0.003349496,-0.018374443
$M$,127,125,141,111,0.002601329,0.002159973,0.006726385,-0.006767213
$\mu$ ,129.2608696,122.2608696,137.9130435,113.6086957,0.003750835,0.002128475,0.007819056,-0.008321339
$\sigma$,11.43049109,11.29045209,10.59979864,10.3955372,0.004234817,0.002621383,0.003239662,0.003745242
