Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,best,,,,,,,,,,,,,100,,,,,,,,
,,,,,,,,,,,Date,spy,spyv,spyg,true label,1 ws,1 ld ,3 ws,3 ls,sc 1-ws,sc 1-ls,,Date,SPY,SPYV,SPYG,1-WS,1-LS,3-WS,3-LS,SC 1-WS,SC 1-LS
10/13/08,0.145197543,0.102304765,0.119093727,growth,Value,Growth,Growth,Value,Cash,SPY,10/13/08,0.14519754,0.10230477,0.11909373,growth,Value,Growth,Growth,Value,Cash,SPY,,10/13/08,14.5,10.2,11.9,Value,Growth,Growth,Value,Cash,SPY
10/28/08,0.11685518,0.104976911,0.072306284,value,Growth,Value,Growth,Value,Cash,SPY,10/28/08,0.11685518,0.10497691,0.07230628,value,Growth,Value,Growth,Value,Cash,SPY,,10/28/08,11.7,10.5,7.2,Growth,Value,Growth,Value,Cash,SPY
3/24/20,0.090603208,0.096788727,0.089336967,value,Growth,Value,Growth,Value,Cash,SPY,3/24/20,0.09060321,0.09678873,0.08933697,value,Growth,Value,Growth,Value,Cash,SPY,,3/24/20,9.1,9.7,8.9,Growth,Value,Growth,Value,Cash,SPY
3/13/20,0.085486344,0.088652803,0.093317882,growth,Growth,Value,Growth,Value,Cash,SPY,3/13/20,0.08548634,0.0886528,0.09331788,growth,Growth,Value,Growth,Value,Cash,SPY,,3/13/20,8.5,8.9,9.3,Growth,Value,Growth,Value,Cash,SPY
3/23/09,0.071828563,0.072406925,0.06622145,value,Growth,Value,Growth,Value,Cash,SPY,3/23/09,0.07182856,0.07240693,0.06622145,value,Growth,Value,Growth,Value,Cash,SPY,,3/23/09,7.2,7.2,6.6,Growth,Value,Growth,Value,Cash,SPY
11/24/08,0.069290765,0.076488981,0.073782716,value,Value,Growth,Growth,Value,SPY,Cash,11/24/08,0.06929077,0.07648898,0.07378272,value,Value,Growth,Growth,Value,SPY,Cash,,11/24/08,6.9,7.6,7.4,Value,Growth,Growth,Value,SPY,Cash
4/6/20,0.067166061,0.064308669,0.072880377,growth,Growth,Value,Value,Growth,Cash,SPY,4/6/20,0.06716606,0.06430867,0.07288038,growth,Growth,Value,Value,Growth,Cash,SPY,,4/6/20,6.7,6.4,7.3,Growth,Value,Value,Growth,Cash,SPY
11/13/08,0.062339083,0.064160497,0.066608018,growth,Growth,Value,Value,Growth,Cash,SPY,11/13/08,0.06233908,0.0641605,0.06660802,growth,Growth,Value,Value,Growth,Cash,SPY,,11/13/08,6.2,6.4,6.7,Growth,Value,Value,Growth,Cash,SPY
10/20/08,0.060079498,0.043478141,0.037085518,value,Growth,Value,Growth,Value,Cash,SPY,10/20/08,0.0600795,0.04347814,0.03708552,value,Growth,Value,Growth,Value,Cash,SPY,,10/20/08,6.0,4.3,3.7,Growth,Value,Growth,Value,Cash,SPY
3/10/09,0.05960956,0.063139973,0.056860782,value,Value,Growth,Value,Growth,Cash,SPY,3/10/09,0.05960956,0.06313997,0.05686078,value,Value,Growth,Value,Growth,Cash,SPY,,3/10/09,6.0,6.3,5.7,Value,Growth,Value,Growth,Cash,SPY
