Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value
2001,-0.28814378572712074,-0.485621142091418,-0.18139860152389695
2002,-0.32971744954673676,-0.4014583603379406,-0.3120508813248663
2003,-0.13725561470445477,-0.12804770249669967,-0.15270391564660016
2004,-0.07530557330890729,-0.10819726662574744,-0.07482986356476329
2005,-0.06957421018054748,-0.08036340753875436,-0.06160016715344275
2006,-0.07593115980036241,-0.08952185068996468,-0.07364550327758819
2007,-0.09924592406599511,-0.09000794087357857,-0.11974275437385977
2008,-0.47116609415583854,-0.4802344998142378,-0.4700889312342815
2009,-0.2713170890953789,-0.22994263066046788,-0.3060985610372663
2010,-0.15699657480899934,-0.1631718905659334,-0.14486647602975086
2011,-0.1860548544010271,-0.16517467950910175,-0.21919305009278683
2012,-0.09686989693404975,-0.08314331419839506,-0.11218869897958512
2013,-0.0555057124239979,-0.058498686201083915,-0.05148620683647743
2014,-0.07273500615047795,-0.0738965508583491,-0.07391275024991371
2015,-0.11910238459270482,-0.11790375605298029,-0.13593962169515839
2016,-0.09187505787550547,-0.0947014354422332,-0.08591265262022094
2017,-0.02610080069548874,-0.02429880822189982,-0.04435827356258616
2018,-0.19348909573269818,-0.2060838049600491,-0.1917499811022992
2019,-0.06618377674322276,-0.06359857634182713,-0.07702050847047574
2020,-0.3371727101453335,-0.3126532248730824,-0.368873057461806
2021,-0.05114132403746995,-0.08696419346497712,-0.057775718051194865
2022,-0.2449638515378642,-0.3225147373883,-0.1789355159321723
2023,-0.09974308131684032,-0.0906874591271056,-0.10908014806547012
