Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value,1-WS,1-LS,3-WS,3-LS,5-WS,5-LS,7-WS,7-LS,9-WS,9-LS,SC 1-WS,SC 1-LS,EW
2001,-0.288143786,-0.485621142,-0.181398602,-0.537169711,-0.319508584,-0.354634657,-0.368858611,-0.336462918,-0.397847279,-0.282714986,-0.418390063,-0.367236462,-0.334089984,-0.1571245,-0.1974628,-0.3366895
2002,-0.32971745,-0.40145836,-0.312050881,-0.58930567,-0.26375301,-0.553064665,-0.179276627,-0.50913593,-0.258490679,-0.552081055,-0.163889357,-0.481179921,-0.278234515,-0.2937177,-0.1796922,-0.3427759
2003,-0.137255615,-0.128047702,-0.152703916,-0.191002122,-0.139359894,-0.1463194,-0.134568869,-0.159953317,-0.122910691,-0.159521777,-0.122318207,-0.171232553,-0.110621043,-0.0962132,-0.0650423,-0.136523
2004,-0.075305573,-0.108197267,-0.074829864,-0.13675924,-0.064803871,-0.105376702,-0.078902115,-0.092545188,-0.089286799,-0.083395797,-0.094170213,-0.097029347,-0.097657908,-0.0638165,-0.0664245,-0.0784266
2005,-0.06957421,-0.080363408,-0.061600167,-0.079819396,-0.056333073,-0.084466694,-0.063549564,-0.091429073,-0.062303914,-0.080002827,-0.06920325,-0.088177474,-0.065062952,-0.109056,-0.0492914,-0.0657601
2006,-0.07593116,-0.089521851,-0.073645503,-0.08024609,-0.076920968,-0.088907501,-0.069071018,-0.0749877,-0.087846925,-0.084321863,-0.078548695,-0.08551631,-0.077345147,-0.0421404,-0.0679608,-0.0768439
2007,-0.099245924,-0.090007941,-0.119742754,-0.110761124,-0.101133321,-0.12632546,-0.088643749,-0.107950723,-0.102812314,-0.120300753,-0.091586616,-0.107638575,-0.091431891,-0.1973028,-0.056645,-0.0973086
2008,-0.471166094,-0.4802345,-0.470088931,-0.536418506,-0.417986193,-0.56760014,-0.396322741,-0.585606835,-0.340918076,-0.553343144,-0.388957723,-0.566384639,-0.376787016,-0.4427091,-0.2087617,-0.4694897
2009,-0.271317089,-0.229942631,-0.306098561,-0.254106196,-0.283619312,-0.255281219,-0.28193276,-0.263998136,-0.273991082,-0.266265148,-0.271183373,-0.246627543,-0.290730751,-0.2006148,-0.1466162,-0.2660555
2010,-0.156996575,-0.163171891,-0.144866476,-0.165156256,-0.142833884,-0.16904777,-0.138819605,-0.16369552,-0.144331057,-0.14940511,-0.158706714,-0.170033231,-0.137797082,-0.13172,-0.0797669,-0.1539349
2011,-0.186054854,-0.16517468,-0.21919305,-0.226962456,-0.167739425,-0.220711493,-0.178772819,-0.191959133,-0.192262358,-0.18927066,-0.191138245,-0.186869651,-0.18907509,-0.135804,-0.1607792,-0.1861244
2012,-0.096869897,-0.083143314,-0.112188699,-0.146956119,-0.063121169,-0.128348909,-0.070314074,-0.126647917,-0.072124785,-0.119173404,-0.079998543,-0.116253332,-0.08253284,-0.0429364,-0.0924394,-0.0971166
2013,-0.055505712,-0.058498686,-0.051486207,-0.070574413,-0.043405947,-0.069412626,-0.049044077,-0.065176406,-0.047351949,-0.058801775,-0.051180762,-0.052149416,-0.05783992,-0.0491588,-0.0470599,-0.0549712
2014,-0.072735006,-0.073896551,-0.07391275,-0.08220586,-0.074208718,-0.081596048,-0.06867945,-0.083514476,-0.064194062,-0.067893983,-0.079876559,-0.076840167,-0.070959799,-0.0779369,-0.0415023,-0.0738568
2015,-0.119102385,-0.117903756,-0.135939622,-0.124791501,-0.131815385,-0.130939323,-0.125914055,-0.12701974,-0.11864294,-0.128028738,-0.125973409,-0.128772375,-0.130144125,-0.0609324,-0.1166644,-0.1203573
2016,-0.091875058,-0.094701435,-0.085912653,-0.073449109,-0.10811915,-0.095489535,-0.085116208,-0.101258062,-0.081254054,-0.085216193,-0.095390674,-0.091947111,-0.088685281,-0.082863,-0.0380584,-0.0902074
2017,-0.026100801,-0.024298808,-0.044358274,-0.037233949,-0.033074357,-0.026351895,-0.032697342,-0.02285745,-0.04074057,-0.029604093,-0.039430263,-0.040101075,-0.041603343,-0.0278142,-0.0177444,-0.0254937
2018,-0.193489096,-0.206083805,-0.191749981,-0.194787385,-0.194550919,-0.182622077,-0.211076845,-0.180890105,-0.205912533,-0.185401056,-0.200432024,-0.229221004,-0.154975379,-0.0665138,-0.1990864,-0.1921146
2019,-0.066183777,-0.063598576,-0.077020508,-0.073295777,-0.072659386,-0.061348086,-0.079818504,-0.063575241,-0.077043508,-0.083789331,-0.060965661,-0.069921486,-0.07074586,-0.0532111,-0.066109,-0.0667565
2020,-0.33717271,-0.312653225,-0.368873057,-0.322537627,-0.359664704,-0.33878375,-0.343931628,-0.328986754,-0.353510424,-0.32451148,-0.357793573,-0.313364824,-0.368218984,-0.2828675,-0.1757068,-0.3400778
2021,-0.051141324,-0.086964193,-0.057775718,-0.057172196,-0.0793522,-0.057071621,-0.07052303,-0.046470047,-0.086964193,-0.060681679,-0.10077931,-0.066301827,-0.089248746,-0.0524845,-0.0433871,-0.0493575
2022,-0.244963852,-0.322514737,-0.178935516,-0.311500936,-0.194589583,-0.324015739,-0.203465809,-0.278602004,-0.252692714,-0.237757136,-0.280875493,-0.19130697,-0.304545757,-0.1321305,-0.1703244,-0.2427169
