Year,S&P500,Buy-Hold Growth,Buy-Hold Value,1D WS,1D LS,3D WS,3D LS
2006,-7.6,-9.0,-7.4,-8.0,-7.7,-8.9,-6.9
2007,-9.9,-9.0,-12.0,-11.1,-10.1,-12.6,-8.9
2008,-47.1,-48.0,-47.0,-53.6,-41.8,-56.8,-39.6
2009,-27.1,-23.0,-30.6,-25.4,-28.4,-25.5,-28.2
2010,-15.7,-16.3,-14.5,-16.5,-14.3,-16.9,-13.9
2011,-18.6,-16.5,-21.9,-22.7,-16.8,-22.1,-17.9
2012,-9.7,-8.3,-11.2,-14.7,-6.3,-12.8,-7.0
2013,-5.6,-5.8,-5.1,-7.1,-4.3,-6.9,-4.9
2014,-7.3,-7.4,-7.4,-8.2,-7.4,-8.2,-6.9
2015,-11.9,-11.8,-13.6,-12.5,-13.2,-13.1,-12.6
2016,-9.2,-9.5,-8.6,-7.3,-10.8,-9.5,-8.5
2017,-2.6,-2.4,-4.4,-3.7,-3.3,-2.6,-3.3
2018,-19.3,-20.6,-19.2,-19.5,-19.5,-18.3,-21.1
2019,-6.6,-6.4,-7.7,-7.3,-7.3,-6.1,-8.0
2020,-33.7,-31.3,-36.9,-32.3,-36.0,-33.9,-34.4
2021,-5.1,-8.7,-5.8,-5.7,-7.9,-5.7,-7.1
2022,-24.5,-32.3,-17.9,-31.2,-19.5,-32.4,-20.3
2023,-10.0,-9.1,-10.9,-10.6,-9.8,-7.7,-12.2
MAX,-3.0,-2.0,-4.0,-3.7,-3.3,-2.6,-3.3
MIN,-47.0,-48.0,-47.0,-53.6,-41.8,-56.8,-39.6
MED,-10.0,-9.0,-12.0,-11.8,-10.5,-12.7,-10.6
MEAN,-15.0,-15.0,-16.0,-16.5,-14.7,-16.7,-14.5
STD,11.3,11.4,11.4,12.3,10.5,13.1,10.2
