Strategy Name,S&P500,Buy-Hold Growth,Buy-Hold Value,Max,Min,5yr,3yr,1yr
2006,115.85,109.01,121.57,109.66,117.30,120.66,122.57,119.99
2007,121.81,120.73,123.28,109.44,132.00,148.62,141.73,131.47
2008,76.99,75.56,78.57,59.42,96.99,142.54,135.43,113.86
2009,97.28,103.52,92.01,70.90,130.39,215.81,202.77,160.37
2010,111.92,120.34,106.26,77.55,160.04,267.75,249.41,185.58
2011,114.04,125.93,105.49,73.74,174.84,330.32,294.35,206.79
2012,132.28,143.78,123.65,72.42,238.28,492.85,418.41,278.46
2013,175.01,190.66,162.93,90.22,334.20,682.67,576.01,367.29
2014,198.58,218.89,182.75,99.40,390.62,741.39,636.30,421.67
2015,201.03,230.00,176.94,96.69,408.53,811.55,688.71,442.74
2016,225.15,245.73,207.15,108.90,453.67,1044.34,770.73,495.05
2017,274.02,312.66,239.05,131.92,549.93,1496.08,1005.99,642.64
2018,261.50,312.29,217.50,128.56,512.81,1506.79,964.52,638.30
2019,343.15,408.60,286.46,176.23,644.65,2164.36,1338.33,869.20
2020,406.05,545.34,290.41,224.97,683.29,3674.94,1811.07,1125.39
2021,522.71,719.92,362.75,318.89,794.88,6434.93,3219.68,1731.26
2022,427.70,508.19,343.61,245.30,690.94,5346.51,2002.58,1234.67
2023,539.66,660.77,419.90,318.87,844.54,7073.58,2629.51,1498.85
