Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Inertia,-0.080244983,-0.1107605,-0.536418205,-0.254105534,-0.165155426,-0.226960649,-0.146955899,-0.070572997,-0.082205754,-0.124792668,-0.073449209,-0.03723469,-0.194788114,-0.073296201,-0.322537094,-0.057171902,-0.311500277,-0.106300142
Anti-Inertia,-0.076923015,-0.101130089,-0.417986573,-0.283619943,-0.142835069,-0.167740557,-0.063124817,-0.043406073,-0.074209169,-0.131815953,-0.108120802,-0.033074601,-0.194550595,-0.072659488,-0.359665018,-0.07935237,-0.194589382,-0.097521729
5 Day Winner Strategy,-0.074988368,-0.107951108,-0.585605455,-0.263997263,-0.16369619,-0.19195751,-0.126645908,-0.065177255,-0.083514961,-0.127019189,-0.101257096,-0.022857673,-0.180890465,-0.063575745,-0.32898639,-0.046469908,-0.278602226,-0.084798268
5 Day Loser Strategy,-0.087847138,-0.102812371,-0.340919853,-0.273991938,-0.144330705,-0.192263961,-0.072127358,-0.047351518,-0.064194164,-0.118643613,-0.081254103,-0.040741094,-0.205912256,-0.077043301,-0.353510584,-0.086963933,-0.252692653,-0.11879499
3 Day Winner Strategy,-0.088910616,-0.126325652,-0.567601852,-0.255280181,-0.169046473,-0.220710995,-0.128347032,-0.06941306,-0.081596008,-0.130936769,-0.095488786,-0.026352196,-0.18262168,-0.061348491,-0.338783666,-0.057071663,-0.324015134,-0.0768349
3 Day Loser Strategy,-0.069072468,-0.088643459,-0.396321716,-0.281933984,-0.138821284,-0.178772992,-0.070316515,-0.049042794,-0.068678953,-0.125915083,-0.085117112,-0.032697403,-0.21107796,-0.079818569,-0.343931517,-0.070522571,-0.20346624,-0.122448866
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Year,5D WS,5D LS,3D WS,3D LS,1D WS,1D LS,,,,,,,,,,,,
2006,-0.074988368,-0.087847138,-0.088910616,-0.069072468,-0.080244983,-0.076923015,,,,,,,,,,,,
2007,-0.107951108,-0.102812371,-0.126325652,-0.088643459,-0.1107605,-0.101130089,,,,,,,,,,,,
2008,-0.585605455,-0.340919853,-0.567601852,-0.396321716,-0.536418205,-0.417986573,,,,,,,,,,,,
2009,-0.263997263,-0.273991938,-0.255280181,-0.281933984,-0.254105534,-0.283619943,,,,,,,,,,,,
2010,-0.16369619,-0.144330705,-0.169046473,-0.138821284,-0.165155426,-0.142835069,,,,,,,,,,,,
2011,-0.19195751,-0.192263961,-0.220710995,-0.178772992,-0.226960649,-0.167740557,,,,,,,,,,,,
2012,-0.126645908,-0.072127358,-0.128347032,-0.070316515,-0.146955899,-0.063124817,,,,,,,,,,,,
2013,-0.065177255,-0.047351518,-0.06941306,-0.049042794,-0.070572997,-0.043406073,,,,,,,,,,,,
2014,-0.083514961,-0.064194164,-0.081596008,-0.068678953,-0.082205754,-0.074209169,,,,,,,,,,,,
2015,-0.127019189,-0.118643613,-0.130936769,-0.125915083,-0.124792668,-0.131815953,,,,,,,,,,,,
2016,-0.101257096,-0.081254103,-0.095488786,-0.085117112,-0.073449209,-0.108120802,,,,,,,,,,,,
2017,-0.022857673,-0.040741094,-0.026352196,-0.032697403,-0.03723469,-0.033074601,,,,,,,,,,,,
2018,-0.180890465,-0.205912256,-0.18262168,-0.21107796,-0.194788114,-0.194550595,,,,,,,,,,,,
2019,-0.063575745,-0.077043301,-0.061348491,-0.079818569,-0.073296201,-0.072659488,,,,,,,,,,,,
2020,-0.32898639,-0.353510584,-0.338783666,-0.343931517,-0.322537094,-0.359665018,,,,,,,,,,,,
2021,-0.046469908,-0.086963933,-0.057071663,-0.070522571,-0.057171902,-0.07935237,,,,,,,,,,,,
2022,-0.278602226,-0.252692653,-0.324015134,-0.20346624,-0.311500277,-0.194589382,,,,,,,,,,,,
2023,-0.084798268,-0.11879499,-0.0768349,-0.122448866,-0.106300142,-0.097521729,,,,,,,,,,,,
