Year,9D WS,9D LS,7D WS,7D LS,5D WS,5D LS,3D WS,3D LS,1D WS,1D LS
2006,-8.6%,-7.7%,-8.4%,-7.9%,-7.5%,-8.8%,-8.9%,-6.9%,-8.0%,-7.7%
2007,-10.8%,-9.1%,-12.0%,-9.2%,-10.8%,-10.3%,-12.6%,-8.9%,-11.1%,-10.1%
2008,-56.6%,-37.7%,-55.3%,-38.9%,-58.6%,-34.1%,-56.8%,-39.6%,-53.6%,-41.8%
2009,-24.7%,-29.1%,-26.6%,-27.1%,-26.4%,-27.4%,-25.5%,-28.2%,-25.4%,-28.4%
2010,-17.0%,-13.8%,-14.9%,-15.9%,-16.4%,-14.4%,-16.9%,-13.9%,-16.5%,-14.3%
2011,-18.7%,-18.9%,-18.9%,-19.1%,-19.2%,-19.2%,-22.1%,-17.9%,-22.7%,-16.8%
2012,-11.6%,-8.3%,-11.9%,-8.0%,-12.7%,-7.2%,-12.8%,-7.0%,-14.7%,-6.3%
2013,-5.2%,-5.8%,-5.9%,-5.1%,-6.5%,-4.7%,-6.9%,-4.9%,-7.1%,-4.3%
2014,-7.7%,-7.1%,-6.8%,-8.0%,-8.4%,-6.4%,-8.2%,-6.9%,-8.2%,-7.4%
2015,-12.9%,-13.0%,-12.8%,-12.6%,-12.7%,-11.9%,-13.1%,-12.6%,-12.5%,-13.2%
2016,-9.2%,-8.9%,-8.5%,-9.5%,-10.1%,-8.1%,-9.5%,-8.5%,-7.3%,-10.8%
2017,-4.0%,-4.2%,-3.0%,-3.9%,-2.3%,-4.1%,-2.6%,-3.3%,-3.7%,-3.3%
2018,-22.9%,-15.5%,-18.5%,-20.0%,-18.1%,-20.6%,-18.3%,-21.1%,-19.5%,-19.5%
2019,-7.0%,-7.1%,-8.4%,-6.1%,-6.4%,-7.7%,-6.1%,-8.0%,-7.3%,-7.3%
2020,-31.3%,-36.8%,-32.5%,-35.8%,-32.9%,-35.4%,-33.9%,-34.4%,-32.3%,-36.0%
2021,-6.6%,-8.9%,-6.1%,-10.1%,-4.6%,-8.7%,-5.7%,-7.1%,-5.7%,-7.9%
2022,-19.1%,-30.5%,-23.8%,-28.1%,-27.9%,-25.3%,-32.4%,-20.3%,-31.2%,-19.5%
2023,-9.0%,-11.1%,-8.3%,-11.8%,-8.5%,-11.9%,-7.7%,-12.2%,-10.6%,-9.8%
MAX,-4.0%,-4.2%,-3.0%,-3.9%,-2.3%,-4.1%,-2.6%,-3.3%,-3.7%,-3.3%
MIN,-56.6%,-37.7%,-55.3%,-38.9%,-58.6%,-35.4%,-56.8%,-39.6%,-53.6%,-41.8%
MED,-11.2%,-10.1%,-12.0%,-11.0%,-11.8%,-11.1%,-12.7%,-10.6%,-11.8%,-10.5%
MEAN,-15.7%,-15.2%,-15.7%,-15.4%,-16.1%,-14.8%,-16.7%,-14.5%,-16.5%,-14.7%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
