Strategy Name,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
9 Day Winner Strategy,115.18193230319442,113.84001192337134,59.08022500475862,74.97652712786251,85.67499171107663,83.39595737384296,92.5441847872917,118.36260759744059,134.13854417258537,131.05636092875173,150.64296701955473,181.4450219985259,161.8417096637748,213.52895071519143,241.9809813217525,368.5862258095121,312.5287403845758,420.221388062128
9 Day Loser Strategy,115.05808453147073,130.74179253395906,100.49596725133617,127.03723606194853,149.2444859006115,159.28574602091896,192.11875431574506,262.44730296272945,298.2193139907723,310.530353123348,337.8987629001929,411.91522433101704,419.67711914240994,548.1522791748257,654.4758046293015,708.515668985765,558.7378464355144,660.2572666832749
7 Day Winner Strategy,114.05382648384101,112.03224826274749,60.66309853962205,73.77616317124436,86.08749955781649,86.38352651268353,94.76316904512143,122.7704084086358,137.73457562240907,134.52814609927898,156.0729233447588,188.98509697026617,184.67784556584922,236.6722650947084,253.84491241084223,388.4878209866351,320.73032028126306,433.0914986575015
7 Day Loser Strategy,116.19612346208037,132.85145528850268,97.87374038274413,129.10417628711582,148.52934697994473,153.7768579460681,187.62008151115037,253.02471123325756,290.43328040255034,302.51645635726476,326.142876705664,395.4807449818565,367.7824064963828,494.5504745032254,623.8876168580525,672.2195709897093,544.450038894193,640.6365073980985
5 Day Winner Strategy,115.8091070302892,117.32241978144064,59.35762111300868,71.78513837022793,78.56646975744663,75.86425345718067,79.8892046784814,102.45307038666604,117.27028292083227,116.1926115111791,129.63858974385448,158.41613584590496,153.96177211018366,209.566700667407,227.9306254175191,343.77748574303854,269.2802353790888,355.0768639538676
5 Day Loser Strategy,114.43497703486264,126.86106584466565,100.0263192147804,132.6849956981857,162.74779981757882,175.09942667423678,222.55163976228195,303.2017197566294,341.11544396865446,350.2544396667663,392.6459883287593,471.79516493806256,441.15666855384757,558.5161222254472,694.8197380911022,759.6457801589813,648.4755002752102,781.3920118428177
3 Day Winner Strategy,107.8884951813649,108.46862338076377,55.55282819290887,68.08710443528663,74.00843379409352,70.31405454319997,73.70100665353004,93.07814195661201,101.07115577076516,100.75396833063941,111.62083917847607,135.6314668638858,136.20747224750838,184.9588039211496,191.9106523126435,259.57411153279736,190.0178327566886,255.95265044325964
3 Day Loser Strategy,122.83619751263491,137.21615299478736,106.87708529730033,139.8915529577294,172.77112130265368,188.9207978649551,241.23786509568657,333.7405161145617,395.7875450993923,403.9243189381192,456.02660372524593,551.0518220323843,498.6603256637252,632.8240587792701,825.2314061104759,1006.0676498756585,918.9749868123072,1084.0060636342487
Inertia,111.37771190735704,111.15905055300219,60.35041338340577,72.01527199013591,78.76291315834537,74.90154468214612,73.55922448347141,91.63359783566621,100.95776693687783,98.20808677173021,110.61032102671368,133.98343014957558,130.57166201115544,178.9930676449165,228.49368654316012,323.884928940776,249.1489673606598,323.8710620424194
Anti-Inertia,118.98801184264313,133.89505530053205,98.38083990510607,132.26098454716663,162.34188883736024,177.3499777847402,241.70284047102226,339.00171846677483,396.2320665024259,414.3953861239576,460.19278963333625,557.8299261097545,520.1837935016288,653.915721677756,693.1075420573011,806.3021555600554,700.8724025691188,856.6811228334133
