Year,spy,growth,value,1 tn,3 tn,5 tn,7 tn,9 tn
2001,0,0,0,136,64,49,45,35
2002,0,0,0,160,90,70,54,44
2003,0,0,0,145,68,50,50,46
2004,0,0,0,140,75,49,37,37
2005,0,0,0,132,63,45,31,34
2006,0,0,0,132,74,44,42,42
2007,0,0,0,142,73,57,49,48
2008,0,0,0,133,83,67,51,46
2009,0,0,0,133,71,53,39,31
2010,0,0,0,135,72,54,37,35
2011,0,0,0,138,77,55,46,44
2012,0,0,0,150,83,67,53,43
2013,0,0,0,139,71,56,42,38
2014,0,0,0,131,69,41,35,31
2015,0,0,0,132,62,46,52,44
2016,0,0,0,125,64,48,33,31
2017,0,0,0,132,66,43,32,32
2018,0,0,0,118,57,41,30,36
2019,0,0,0,117,55,38,40,36
2020,0,0,0,114,61,47,40,32
2021,0,0,0,118,62,41,24,30
2022,0,0,0,126,72,44,34,26
2023,0,0,0,123,58,56,42,36
$\max$,0,0,0,160,90,70,54,48
$\min$,0,0,0,114,55,38,24,26
$M$,0,0,0,132,69,49,40,36
$\mu$ ,0,0,0,133,69,50,41,37
$\sigma$,0,0,0,11,9,9,8,6
