Year,sc_1W_TPR,sc_1W_TNR,sc_1W_Accuracy,sc_1L_TPR,sc_1L_TNR,sc_1L_Accuracy,1_Ws_TPR,1_Ws_TNR,1_Ws_Accuracy,1_Ls_TPR,1_Ls_TNR,1_Ls_Accuracy
2001,0.488,0.479674797,0.483870968,0.512,0.520325203,0.516129032,0.446280992,0.472440945,0.459677419,0.553719008,0.527559055,0.540322581
2002,0.391666667,0.454545455,0.424603175,0.608333333,0.545454545,0.575396825,0.313559322,0.402985075,0.361111111,0.686440678,0.597014925,0.638888889
2003,0.541666667,0.388888889,0.476190476,0.458333333,0.611111111,0.523809524,0.42519685,0.416,0.420634921,0.57480315,0.584,0.579365079
2004,0.586206897,0.429906542,0.51984127,0.413793103,0.570093458,0.48015873,0.416666667,0.462121212,0.44047619,0.583333333,0.537878788,0.55952381
2005,0.535714286,0.419642857,0.484126984,0.464285714,0.580357143,0.515873016,0.454545455,0.496183206,0.476190476,0.545454545,0.503816794,0.523809524
2006,0.588652482,0.472727273,0.537848606,0.411347518,0.527272727,0.462151394,0.385321101,0.535211268,0.470119522,0.614678899,0.464788732,0.529880478
2007,0.489208633,0.366071429,0.434262948,0.510791367,0.633928571,0.565737052,0.485507246,0.371681416,0.434262948,0.514492754,0.628318584,0.565737052
2008,0.5,0.511811024,0.505928854,0.5,0.488188976,0.494071146,0.472,0.4765625,0.4743083,0.528,0.5234375,0.5256917
2009,0.560283688,0.432432432,0.503968254,0.439716312,0.567567568,0.496031746,0.537931034,0.373831776,0.468253968,0.462068966,0.626168224,0.531746032
2010,0.571428571,0.40952381,0.503968254,0.428571429,0.59047619,0.496031746,0.456,0.464566929,0.46031746,0.544,0.535433071,0.53968254
2011,0.566176471,0.482758621,0.527777778,0.433823529,0.517241379,0.472222222,0.448818898,0.448,0.448412698,0.551181102,0.552,0.551587302
2012,0.589928058,0.495495495,0.548,0.410071942,0.504504505,0.452,0.353448276,0.440298507,0.4,0.646551724,0.559701493,0.6
2013,0.570469799,0.378640777,0.492063492,0.429530201,0.621359223,0.507936508,0.473684211,0.411764706,0.444444444,0.526315789,0.588235294,0.555555556
2014,0.563758389,0.359223301,0.48015873,0.436241611,0.640776699,0.51984127,0.528571429,0.410714286,0.476190476,0.471428571,0.589285714,0.523809524
2015,0.454545455,0.496183206,0.476190476,0.545454545,0.503816794,0.523809524,0.518248175,0.417391304,0.472222222,0.481751825,0.582608696,0.527777778
2016,0.463768116,0.350877193,0.412698413,0.536231884,0.649122807,0.587301587,0.511627907,0.487804878,0.5,0.488372093,0.512195122,0.5
2017,0.534722222,0.373831776,0.466135458,0.465277778,0.626168224,0.533864542,0.544827586,0.377358491,0.474103586,0.455172414,0.622641509,0.525896414
2018,0.555555556,0.49137931,0.525896414,0.444444444,0.50862069,0.474103586,0.583333333,0.448598131,0.525896414,0.416666667,0.551401869,0.474103586
2019,0.62,0.441176471,0.547619048,0.38,0.558823529,0.452380952,0.528455285,0.542635659,0.535714286,0.471544715,0.457364341,0.464285714
2020,0.506849315,0.327102804,0.43083004,0.493150685,0.672897196,0.56916996,0.62,0.446601942,0.549407115,0.38,0.553398058,0.450592885
2021,0.568493151,0.396226415,0.496031746,0.431506849,0.603773585,0.503968254,0.528,0.535433071,0.531746032,0.472,0.464566929,0.468253968
2022,0.445454545,0.567375887,0.513944223,0.554545455,0.432624113,0.486055777,0.433628319,0.543478261,0.494023904,0.566371681,0.456521739,0.505976096
2023,0.54676259,0.425925926,0.493927126,0.45323741,0.574074074,0.506072874,0.563380282,0.416666667,0.5,0.436619718,0.583333333,0.5
